Kabupaten/Kota,IUD,MOW,MOP,Kondom,Implan,Suntikan,Pil
Bolaang Mongondow Timur,259,383,37,139,2855,5452,3594
Kota Manado,14393,3871,386,3582,10771,21148,16610
Kota Bitung,3889,754,60,1167,6271,15553,6548
Kota Tomohon,1544,757,64,449,1469,8665,2315
Kota Kotamobagu,858,688,16,81,4620,6752,3850
Ogan Komering Ulu,2656,1816,81,1980,12846,24533,14098
Ogan Komering Ilir,1856,2029,410,5308,32826,76796,35457
Muara Enim,4716,2206,761,4326,28874,41318,24173
Lahat,929,780,116,1665,13367,35150,8081
Musi Rawas,1525,919,175,842,21080,32108,3827
Musi Banyuasin,8335,4037,1118,3186,36125,54553,26507
Banyuasin,4233,4008,712,6388,44850,61922,39521
Ogan Komering Ulu Selatan,3627,2380,152,4254,7487,26056,14038
Ogan Komering Ulu Timur,3138,2408,471,3681,27082,45617,31046
Ogan Ilir,2251,742,314,3875,13490,25711,11446
Empat Lawang,680,210,108,9996,17177,29255,2777
Pali,1659,697,211,2936,14708,11362,4332
Musi Rawas Utara,1430,447,103,1988,15733,14675,11209
Palembang,25465,16541,1083,17428,38876,81496,54168
Prabumulih,4517,834,255,2633,6721,10268,7455
Pagar Alam,891,282,23,865,4624,10771,2270
Lubuk Linggau,1372,948,165,2776,8515,14181,8437
Nias,2552,1603,476,1863,3305,3810,2427
Mandailing Natal,3293,2205,106,5400,8057,30609,15181
Tapanuli Selatan,3370,1313,61,3383,7197,12285,8623
Tapanuli Tengah,2165,3325,689,3258,7662,10298,7050
Tapanuli Utara,1032,3813,92,1719,7752,5549,2866
Toba Samosir,2699,3571,56,1881,4492,3730,2848
Labuhan Batu,4905,2454,558,4230,18641,23666,24938
Asahan,9112,13355,501,2716,12765,27692,23414
Simalungun,9247,14780,712,11308,22833,37959,27587
Dairi,3374,3318,180,1328,9460,7387,3643
Karo,3665,6328,32,3258,10360,14808,8722
Deli Serdang,31623,14919,4118,21823,50753,77661,84531
Langkat,10003,6373,422,8126,23793,39313,50736
Nias Selatan,7689,5748,280,2400,8439,17604,8055
Humbang Hasundutan,2108,3041,60,825,4218,4258,1653
Pakpak Bharat,154,608,201,474,1932,1430,549
Samosir,1924,2657,125,524,1937,1583,540
Serdang Bedagai,9040,6449,2149,4025,16140,27836,23724
Batu Bara,1559,2267,463,1285,10039,14062,14598
Padang Lawas Utara,1192,1015,18,1456,4756,8649,5028
Padang Lawas,1143,1286,64,7069,7682,16208,12399
Labuhanbatu Selatan,1918,1724,175,4997,6606,12531,9356
Labuanbatu Utara,2492,1715,141,15302,22326,19427,30566
Nias Utara,800,1040,35,377,1540,5199,1236
Nias Barat,402,139,0,370,1100,1891,547
Sibolga,965,1195,139,430,2136,1891,616
Tanjungbalai,320,443,151,750,2969,5708,5392
Pematangsiantar,3321,4299,200,3302,6154,9128,6882
Tebing Tinggi,546,1005,139,750,3847,8433,3644
Medan,22784,14497,2543,14190,24786,73817,55718
Binjai,2400,1731,164,1235,4203,11867,10209
Padangsidimpuan,1295,1148,101,1172,3441,7839,2558
Gunungsitoli,2608,1752,89,1367,1325,3812,1670
